Case : 38400, Assigments : 1150739088, Comparisons : 737259980
Case : 38500, Assigments : 1156363647, Comparisons : 741104930
Case : 38600, Assigments : 1159691520, Comparisons : 744959880
Case : 38700, Assigments : 1172902926, Comparisons : 748824830
Case : 38800, Assigments : 1177035000, Comparisons : 752699780
Case : 38900, Assigments : 1181726538, Comparisons : 756584730
Case : 39000, Assigments : 1189448877, Comparisons : 760479680
Case : 39200, Assigments : 1199018544, Comparisons : 768281872
Case : 39300, Assigments : 1201878288, Comparisons : 772206822
Case : 39400, Assigments : 1209582528, Comparisons : 776141772
Case : 39500, Assigments : 1217770200, Comparisons : 780086722
Case : 39600, Assigments : 1226941983, Comparisons : 784041672
Case : 39700, Assigments : 1230282078, Comparisons : 788006622
Case : 39800, Assigments : 1236659079, Comparisons : 791981572
Case : 39900, Assigments : 1241413359, Comparisons : 795966522
Case : 40000, Assigments : 1251420840, Comparisons : 799961472
Case : 40100, Assigments : 1260303483, Comparisons : 803966422
Case : 40200, Assigments : 1265732886, Comparisons : 807981372
Case : 40300, Assigments : 1272044217, Comparisons : 812006322
Case : 40400, Assigments : 1276281285, Comparisons : 816041272
Case : 40500, Assigments : 1283857575, Comparisons : 820086222
Case : 40600, Assigments : 1288995927, Comparisons : 824141172
Case : 40700, Assigments : 1298667060, Comparisons : 828206122
Case : 40900, Assigments : 1315031037, Comparisons : 836287530
Case : 41000, Assigments : 1322386458, Comparisons : 840382480
Case : 41100, Assigments : 1325823285, Comparisons : 844487430
Case : 41200, Assigments : 1333032894, Comparisons : 848602380
Case : 41300, Assigments : 1338694764, Comparisons : 852727330
Case : 41400, Assigments : 1347292992, Comparisons : 856862280
Case : 41500, Assigments : 1354835901, Comparisons : 861007230
Case : 41600, Assigments : 1359627933, Comparisons : 865162180
Case : 41700, Assigments : 1366877532, Comparisons : 869327130
Case : 41800, Assigments : 1375333926, Comparisons : 873502080
Case : 41900, Assigments : 1379926152, Comparisons : 877687030
Case : 42000, Assigments : 1389402438, Comparisons : 881881980
Case : 42100, Assigments : 1395865791, Comparisons : 886086930
Case : 42200, Assigments : 1404179874, Comparisons : 890301880
Case : 42300, Assigments : 1409648352, Comparisons : 894526830
Case : 42400, Assigments : 1420432092, Comparisons : 898761780
Case : 42600, Assigments : 1434885429, Comparisons : 907334829
Case : 42700, Assigments : 1446009720, Comparisons : 911599779
Case : 42800, Assigments : 1448713938, Comparisons : 915874729
Case : 42900, Assigments : 1460926872, Comparisons : 920159679
Case : 43000, Assigments : 1466104812, Comparisons : 924454629
Case : 43100, Assigments : 1476954000, Comparisons : 928759579
Case : 43200, Assigments : 1479965034, Comparisons : 933074529
Case : 43300, Assigments : 1489690401, Comparisons : 937399479
Case : 43400, Assigments : 1496496150, Comparisons : 941734429
Case : 43500, Assigments : 1503044385, Comparisons : 946079379
Case : 43600, Assigments : 1512948243, Comparisons : 950434329
Case : 43700, Assigments : 1518883677, Comparisons : 954799279
Case : 43800, Assigments : 1528231923, Comparisons : 959174229
Case : 43900, Assigments : 1533180066, Comparisons : 963559179
Case : 44000, Assigments : 1542481020, Comparisons : 967954129
Case : 44100, Assigments : 1551251328, Comparisons : 972359079
Case : 44300, Assigments : 1565581038, Comparisons : 981194409
Case : 44400, Assigments : 1573040241, Comparisons : 985629359
Case : 44500, Assigments : 1576701933, Comparisons : 990074309
Case : 44600, Assigments : 1588912731, Comparisons : 994529259
Case : 44700, Assigments : 1594597875, Comparisons : 998994209
Case : 44800, Assigments : 1602151194, Comparisons : 1003469159
Case : 44900, Assigments : 1615054860, Comparisons : 1007954109
Case : 45000, Assigments : 1621858884, Comparisons : 1012449059
Case : 45100, Assigments : 1628334537, Comparisons : 1016954009
Case : 45200, Assigments : 1637707578, Comparisons : 1021468959
Case : 45300, Assigments : 1643340174, Comparisons : 1025993909
Case : 45400, Assigments : 1648706619, Comparisons : 1030528859
Case : 45500, Assigments : 1661173701, Comparisons : 1035073809
Case : 45600, Assigments : 1669747017, Comparisons : 1039628759
Case : 45700, Assigments : 1672596555, Comparisons : 1044193709
Case : 45800, Assigments : 1681278663, Comparisons : 1048768659
Case : 46000, Assigments : 1705052499, Comparisons : 1057942284
Case : 46100, Assigments : 1710961332, Comparisons : 1062547234
Case : 46200, Assigments : 1718878239, Comparisons : 1067162184
Case : 46300, Assigments : 1732671033, Comparisons : 1071787134
Case : 46400, Assigments : 1738058670, Comparisons : 1076422084
Case : 46500, Assigments : 1743488565, Comparisons : 1081067034
Case : 46600, Assigments : 1750683063, Comparisons : 1085721984
Case : 46700, Assigments : 1761402474, Comparisons : 1090386934
Case : 46800, Assigments : 1767802425, Comparisons : 1095061884
Case : 46900, Assigments : 1778103777, Comparisons : 1099746834
Case : 47000, Assigments : 1783154961, Comparisons : 1104441784
Case : 47100, Assigments : 1795300521, Comparisons : 1109146734
Case : 47200, Assigments : 1801030242, Comparisons : 1113861684
Case : 47300, Assigments : 1808473686, Comparisons : 1118586634
Case : 47400, Assigments : 1818117909, Comparisons : 1123321584
Case : 47500, Assigments : 1825434879, Comparisons : 1128066534
Case : 47700, Assigments : 1840725243, Comparisons : 1137584565
Case : 47800, Assigments : 1851918786, Comparisons : 1142359515
Case : 47900, Assigments : 1858668273, Comparisons : 1147144465
Case : 48000, Assigments : 1866460086, Comparisons : 1151939415
Case : 48100, Assigments : 1874497914, Comparisons : 1156744365
Case : 48200, Assigments : 1884198687, Comparisons : 1161559315
Case : 48300, Assigments : 1896141027, Comparisons : 1166384265
Case : 48400, Assigments : 1901088243, Comparisons : 1171219215
Case : 48500, Assigments : 1911237672, Comparisons : 1176064165
Case : 48600, Assigments : 1917676884, Comparisons : 1180919115
Case : 48700, Assigments : 1925029539, Comparisons : 1185784065
Case : 48800, Assigments : 1934145141, Comparisons : 1190659015
Case : 48900, Assigments : 1948702830, Comparisons : 1195543965
Case : 49000, Assigments : 1953370971, Comparisons : 1200438915
Case : 49100, Assigments : 1959095511, Comparisons : 1205343865
Case : 49200, Assigments : 1969202073, Comparisons : 1210258815
Case : 49400, Assigments : 1989438198, Comparisons : 1220081380
Case : 49500, Assigments : 2000907531, Comparisons : 1225026330
Case : 49600, Assigments : 2008203495, Comparisons : 1229981280
Case : 49700, Assigments : 2018796588, Comparisons : 1234946230
Case : 49800, Assigments : 2025740472, Comparisons : 1239921180
Case : 49900, Assigments : 2036163276, Comparisons : 1244906130
Case : 50000, Assigments : 2042211717, Comparisons : 1249901080
Case : 50100, Assigments : 2052163317, Comparisons : 1254906030
Case : 50200, Assigments : 2063655417, Comparisons : 1259920980
Case : 50300, Assigments : 2074321650, Comparisons : 1264945930
Case : 50400, Assigments : 2078927697, Comparisons : 1269980880
Case : 50500, Assigments : 2088102147, Comparisons : 1275025830
Case : 50600, Assigments : 2093817507, Comparisons : 1280080780
Case : 50700, Assigments : 2107592463, Comparisons : 1285145730
Case : 50800, Assigments : 2111935515, Comparisons : 1290220680
Case : 50900, Assigments : 2126219514, Comparisons : 1295305630
Case : 51100, Assigments : 2147755677, Comparisons : 1305390030
Case : 51200, Assigments : 2152484025, Comparisons : 1310504980
Case : 51300, Assigments : 2164386099, Comparisons : 1315629930
Case : 51400, Assigments : 2176023480, Comparisons : 1320764880
Case : 51500, Assigments : 2182061940, Comparisons : 1325909830
Case : 51600, Assigments : 2192893866, Comparisons : 1331064780
Case : 51700, Assigments : 2198441103, Comparisons : 1336229730
Case : 51800, Assigments : 2209299684, Comparisons : 1341404680
Case : 51900, Assigments : 2217045507, Comparisons : 1346589630
Case : 52000, Assigments : 2226261507, Comparisons : 1351784580
Case : 52100, Assigments : 2238186888, Comparisons : 1356989530
Case : 52200, Assigments : 2245534005, Comparisons : 1362204480
Case : 52300, Assigments : 2255358207, Comparisons : 1367429430
